epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,301.96,2.14197,2.31342,1.54498,0.37597,0.48175,0.40289,0.18258,1.89739,1.49266,1.28256,0.00332635,0.00332635,0.00332635
2,596.007,1.91608,1.75645,1.35852,0.42491,0.59318,0.52278,0.2203,1.94105,1.74922,1.28124,0.00662671,0.00662671,0.00662671
3,889.308,1.92438,1.75844,1.36353,0.48524,0.53496,0.49789,0.22315,1.91132,1.53981,1.28966,0.00989408,0.00989408,0.00989408
4,1182.13,1.94736,1.74937,1.36173,0.48172,0.58665,0.55665,0.25823,1.89972,1.49195,1.29581,0.0098515,0.0098515,0.0098515
5,1474.74,1.94448,1.70369,1.37045,0.37648,0.53326,0.44969,0.20281,1.90677,1.66803,1.28078,0.009802,0.009802,0.009802
6,1767.44,1.92184,1.66268,1.34503,0.46586,0.52851,0.48928,0.23338,1.86693,1.44353,1.27082,0.0097525,0.0097525,0.0097525
7,2059.75,1.8915,1.62377,1.33909,0.57829,0.5682,0.57605,0.26581,1.86842,1.41535,1.28318,0.009703,0.009703,0.009703
8,2352.8,1.89091,1.59916,1.33832,0.64498,0.61364,0.64872,0.33491,1.87634,1.37253,1.27798,0.0096535,0.0096535,0.0096535
9,2644.99,1.87327,1.5768,1.33167,0.55832,0.61353,0.59802,0.29766,1.8769,1.5001,1.27329,0.009604,0.009604,0.009604
10,2937.21,1.86551,1.56442,1.32014,0.5789,0.58291,0.58193,0.26901,1.84283,1.36862,1.25404,0.0095545,0.0095545,0.0095545
11,3229.52,1.8477,1.53517,1.31205,0.4861,0.49584,0.47137,0.21785,1.85383,1.41877,1.26133,0.009505,0.009505,0.009505
12,3522,1.8433,1.53947,1.31655,0.51619,0.53868,0.54621,0.23672,1.89589,1.45733,1.27486,0.0094555,0.0094555,0.0094555
13,3814.07,1.83508,1.50753,1.2949,0.52807,0.63245,0.57854,0.26818,1.84454,1.35044,1.25858,0.009406,0.009406,0.009406
14,4106.54,1.83821,1.50896,1.30849,0.69062,0.64023,0.67726,0.36484,1.83872,1.32549,1.25404,0.0093565,0.0093565,0.0093565
15,4399.04,1.82199,1.48317,1.30672,0.58849,0.67036,0.65815,0.35519,1.8384,1.3177,1.25955,0.009307,0.009307,0.009307
16,4691.18,1.81453,1.48531,1.30085,0.63341,0.63673,0.66497,0.34906,1.8471,1.31095,1.25387,0.0092575,0.0092575,0.0092575
17,4982.99,1.80687,1.4642,1.29517,0.62268,0.64413,0.64581,0.32726,1.8349,1.28241,1.26953,0.009208,0.009208,0.009208
18,5275.01,1.79466,1.44564,1.2968,0.64385,0.67716,0.68551,0.35575,1.83564,1.29873,1.2602,0.0091585,0.0091585,0.0091585
19,5567.1,1.78369,1.42519,1.28764,0.59529,0.58517,0.63257,0.32701,1.81476,1.28331,1.24677,0.009109,0.009109,0.009109
20,5859.68,1.77721,1.40122,1.27477,0.588,0.6391,0.64071,0.32411,1.8242,1.3303,1.24928,0.0090595,0.0090595,0.0090595
21,6151.55,1.7817,1.38653,1.27578,0.60241,0.58026,0.60566,0.30859,1.81211,1.29136,1.24831,0.00901,0.00901,0.00901
22,6443.58,1.764,1.38808,1.27407,0.66344,0.60235,0.6621,0.34175,1.80705,1.25964,1.24924,0.0089605,0.0089605,0.0089605
